"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTI","Vanguard Total Stock Market ETF","31.90%"
"VTV","Vanguard Value ETF","8.50%"
"VOE","Vanguard Mid-Cap Value ETF","6.90%"
"VBR","Vanguard Small-Cap Value ETF","5.80%"
"VEA","Vanguard FTSE Developed Markets ETF","23.00%"
"VWO","Vanguard FTSE Emerging Markets ETF","14.00%"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","0.60%"
"AGG","iShares Core US Aggregate Bond ETF","1.10%"
"MUB","iShares National Muni Bond ETF","3.80%"
"BNDX","Vanguard Total International Bond ETF","2.90%"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","1.50%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$14,038"
"End Balance (inflation adjusted)","$12,943"
"CAGR","6.67%"
"CAGR (inflation adjusted)","5.04%"
"Stdev","10.21%"
"Best Year","21.02%"
"Worst Year","-9.11%"
"Max. Drawdown","-13.14%"
"Sharpe Ratio","0.62"
"Sortino Ratio","0.94"
"US Stock Market Correlation","0.96"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.58%"
"Arithmetic Mean (annualized)","7.22%"
"Geometric Mean (monthly)","0.54%"
"Geometric Mean (annualized)","6.67%"
"Volatility (monthly)","2.95%"
"Volatility (annualized)","10.21%"
"Downside Deviation (monthly)","1.91%"
"Max. Drawdown","-13.14%"
"US Market Correlation","0.96"
"Beta (*)","0.85"
"Alpha (annualized)","-1.81%"
"R Squared","91.78%"
"Sharpe Ratio","0.62"
"Sortino Ratio","0.94"
"Treynor Ratio (%)","7.46"
"Calmar Ratio","0.78"
"Active Return","-3.45%"
"Tracking Error","3.39%"
"Information Ratio","-1.02"
"Skewness","-0.32"
"Excess Kurtosis","1.06"
"Historical Value-at-Risk (5%)","-5.90%"
"Analytical Value-at-Risk (5%)","-4.22%"
"Conditional Value-at-Risk (5%)","-6.63%"
"Upside Capture Ratio (%)","80.21"
"Downside Capture Ratio (%)","95.43"
"Sustainable Withdrawal Rate","22.44%"
"Positive Periods","43 out of 63 (68.25%)"
"Gain/Loss Ratio","0.79"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard Value ETF (VTV)","Vanguard Mid-Cap Value ETF (VOE)","Vanguard Small-Cap Value ETF (VBR)","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","Vanguard Short-Term Infl-Prot Secs ETF (VTIP)","iShares Core US Aggregate Bond ETF (AGG)","iShares National Muni Bond ETF (MUB)","Vanguard Total International Bond ETF (BNDX)","iShares JP Morgan USD Em Mkts Bd ETF (EMB)"
"2014","0.76%","6.07%","$10,607","12.54%","13.17%","13.96%","10.55%","-5.98%","-0.07%","-1.41%","6.00%","9.35%","8.74%","6.05%"
"2015","0.73%","-2.51%","$10,341","0.36%","-0.98%","-1.89%","-4.76%","-0.38%","-15.81%","0.23%","0.48%","2.91%","1.19%","1.04%"
"2016","2.07%","10.68%","$11,446","12.83%","17.12%","15.40%","24.90%","2.67%","12.21%","2.45%","2.42%","-0.17%","4.61%","9.26%"
"2017","2.11%","21.02%","$13,851","21.21%","17.14%","17.07%","11.80%","26.42%","31.48%","0.82%","3.52%","4.72%","2.40%","10.28%"
"2018","1.91%","-9.11%","$12,589","-5.21%","-5.44%","-12.45%","-12.26%","-14.75%","-14.77%","0.56%","0.33%","0.93%","2.81%","-5.47%"
"2019","0.61%","11.51%","$14,038","14.00%","10.64%","13.80%","13.38%","10.64%","11.77%","1.59%","2.94%","2.42%","2.99%","6.79%"
"Annual returns for 2019 are based on partial year data"

"Monthly Returns"

"Year","Month","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard Value ETF (VTV)","Vanguard Mid-Cap Value ETF (VOE)","Vanguard Small-Cap Value ETF (VBR)","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","Vanguard Short-Term Infl-Prot Secs ETF (VTIP)","iShares Core US Aggregate Bond ETF (AGG)","iShares National Muni Bond ETF (MUB)","Vanguard Total International Bond ETF (BNDX)","iShares JP Morgan USD Em Mkts Bd ETF (EMB)"
"2014","1","-3.90%","$9,610","-3.17%","-3.69%","-2.58%","-2.78%","-5.21%","-8.43%","0.16%","1.54%","2.56%","1.43%","-0.81%"
"2014","2","4.47%","$10,040","4.87%","3.97%","5.39%","4.97%","5.95%","3.24%","0.28%","0.38%","1.05%","0.48%","3.45%"
"2014","3","1.10%","$10,150","0.51%","2.69%","1.15%","1.31%","-0.37%","4.62%","-0.44%","-0.15%","0.08%","0.32%","1.19%"
"2014","4","0.63%","$10,214","0.06%","0.86%","0.41%","-1.13%","1.57%","0.89%","0.57%","0.82%","1.24%","0.60%","1.06%"
"2014","5","1.97%","$10,415","2.10%","1.38%","1.71%","1.64%","1.77%","3.10%","0.73%","1.18%","1.12%","0.74%","3.47%"
"2014","6","2.14%","$10,638","2.62%","1.92%","2.78%","4.32%","1.04%","3.17%","0.30%","-0.06%","-0.16%","0.61%","0.04%"
"2014","7","-1.53%","$10,475","-1.99%","-1.20%","-2.60%","-4.79%","-2.37%","1.37%","-0.34%","-0.25%","0.45%","0.50%","-0.25%"
"2014","8","2.92%","$10,780","4.15%","3.44%","3.86%","5.12%","0.26%","3.84%","-0.08%","1.15%","1.26%","1.37%","1.27%"
"2014","9","-3.36%","$10,418","-2.10%","-1.28%","-3.47%","-5.54%","-4.16%","-7.18%","-1.08%","-0.61%","-0.08%","-0.13%","-2.16%"
"2014","10","1.90%","$10,616","2.75%","1.80%","3.56%","4.85%","-0.35%","2.23%","0.08%","1.06%","0.55%","0.60%","1.97%"
"2014","11","1.17%","$10,741","2.48%","2.47%","2.72%","1.10%","0.00%","-1.10%","-0.16%","0.66%","0.12%","0.91%","-0.41%"
