"Start Date","01/01/2012"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","20.00%"
"DFTCX","DFA T.A. US Core Equity 2 I","20.00%"
"DTMMX","DFA Tax-Managed US Marketwide Value","20.00%"
"DFGEX","DFA Global Real Estate Securities Port","5.00%"
"DFIEX","DFA International Core Equity I","5.00%"
"DTMIX","DFA Tax-Managed International Value","5.00%"
"DFCEX","DFA Emerging Markets Core Equity I","5.00%"
"DFGFX","DFA Two-Year Global Fixed-Income I","10.00%"
"DFAPX","DFA Investment Grade I","10.00%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$17,319"
"End Balance (inflation adjusted)","$15,462"
"CAGR","7.87%"
"CAGR (inflation adjusted)","6.20%"
"Stdev","6.97%"
"Best Year","17.81%"
"Worst Year","-6.28%"
"Max. Drawdown","-8.61%"
"Sharpe Ratio","1.05"
"Sortino Ratio","1.70"
"US Stock Market Correlation","0.96"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.65%"
"Arithmetic Mean (annualized)","8.13%"
"Geometric Mean (monthly)","0.63%"
"Geometric Mean (annualized)","7.87%"
"Volatility (monthly)","2.01%"
"Volatility (annualized)","6.97%"
"Downside Deviation (monthly)","1.23%"
"Max. Drawdown","-8.61%"
"US Market Correlation","0.96"
"Beta (*)","0.60"
"Alpha (annualized)","-0.44%"
"R Squared","92.37%"
"Sharpe Ratio","1.05"
"Sortino Ratio","1.70"
"Treynor Ratio (%)","12.20"
"Calmar Ratio","0.84"
"Active Return","-6.05%"
"Tracking Error","4.80%"
"Information Ratio","-1.26"
"Skewness","-0.52"
"Excess Kurtosis","1.00"
"Historical Value-at-Risk (5%)","-3.64%"
"Analytical Value-at-Risk (5%)","-2.62%"
"Conditional Value-at-Risk (5%)","-4.53%"
"Upside Capture Ratio (%)","57.23"
"Downside Capture Ratio (%)","63.54"
"Sustainable Withdrawal Rate","19.22%"
"Positive Periods","61 out of 87 (70.11%)"
"Gain/Loss Ratio","0.99"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Short-Term Investment-Grade Adm (VFSUX)","DFA T.A. US Core Equity 2 I (DFTCX)","DFA Tax-Managed US Marketwide Value (DTMMX)","DFA Global Real Estate Securities Port (DFGEX)","DFA International Core Equity I (DFIEX)","DFA Tax-Managed International Value (DTMIX)","DFA Emerging Markets Core Equity I (DFCEX)","DFA Two-Year Global Fixed-Income I (DFGFX)","DFA Investment Grade I (DFAPX)"
"2012","1.74%","13.53%","$11,353","4.63%","17.93%","22.23%","23.17%","18.74%","16.35%","20.49%","1.03%","5.31%"
"2013","1.50%","17.81%","$13,375","1.07%","37.55%","40.31%","1.77%","23.43%","22.65%","-2.64%","0.46%","-2.87%"
"2014","0.76%","5.35%","$14,090","1.86%","9.56%","9.93%","22.74%","-5.98%","-7.54%","-0.91%","0.38%","6.23%"
"2015","0.73%","-1.67%","$13,854","1.13%","-2.53%","-2.74%","0.69%","-0.21%","-6.43%","-14.86%","0.33%","1.61%"
"2016","2.07%","9.24%","$15,133","2.82%","16.31%","17.17%","6.56%","5.34%","8.20%","12.35%","0.95%","2.57%"
"2017","2.11%","13.01%","$17,102","2.12%","18.82%","17.01%","9.20%","28.05%","25.95%","36.55%","0.93%","3.37%"
"2018","1.91%","-6.28%","$16,028","0.96%","-9.43%","-10.23%","-4.15%","-17.40%","-17.32%","-15.25%","1.91%","-0.24%"
"2019","0.61%","8.06%","$17,319","2.18%","13.41%","11.76%","15.20%","10.07%","8.42%","8.61%","0.99%","3.73%"
"Annual returns for 2019 are based on partial year data"

"Monthly Returns"

"Year","Month","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Short-Term Investment-Grade Adm (VFSUX)","DFA T.A. US Core Equity 2 I (DFTCX)","DFA Tax-Managed US Marketwide Value (DTMMX)","DFA Global Real Estate Securities Port (DFGEX)","DFA International Core Equity I (DFIEX)","DFA Tax-Managed International Value (DTMIX)","DFA Emerging Markets Core Equity I (DFCEX)","DFA Two-Year Global Fixed-Income I (DFGFX)","DFA Investment Grade I (DFAPX)"
"2012","1","4.09%","$10,409","1.07%","5.45%","5.23%","6.40%","7.34%","6.69%","11.77%","0.20%","1.13%"
"2012","2","2.98%","$10,720","0.40%","4.40%","5.30%","0.72%","5.13%","5.50%","6.28%","0.10%","0.09%"
"2012","3","0.86%","$10,812","0.12%","2.40%","2.10%","3.58%","-0.01%","-0.85%","-3.13%","0.10%","-0.59%"
"2012","4","-0.69%","$10,737","0.39%","-1.03%","-1.85%","2.54%","-2.21%","-3.71%","-2.22%","0.10%","1.32%"
"2012","5","-4.85%","$10,216","0.02%","-6.88%","-7.05%","-5.06%","-11.96%","-12.47%","-10.52%","0.00%","0.93%"
"2012","6","3.09%","$10,532","0.29%","3.95%","5.25%","6.04%","6.13%","7.11%","4.48%","0.11%","-0.04%"
"2012","7","0.69%","$10,605","0.75%","0.43%","0.84%","2.91%","-0.11%","-0.50%","0.06%","0.20%","1.39%"
"2012","8","2.02%","$10,819","0.47%","3.23%","3.78%","0.43%","3.53%","4.12%","1.05%","0.10%","0.37%"
"2012","9","2.10%","$11,047","0.46%","3.01%","3.60%","-0.32%","3.55%","3.46%","5.70%","0.02%","0.30%"
