"Start Date","01/01/2018"
"End Date","05/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"FDFIX","Fidelity Flex 500 Index","49.20%"
"FLXSX","Fidelity Flex Small Cap Index","6.00%"
"FLAPX","Fidelity Flex Mid Cap Index","4.80%"
"FITFX","Fidelity Flex International Index","25.00%"
"FIBUX","Fidelity Flex US Bond Index","14.00%"
"CASHX","Cash","1.00%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$10,161"
"End Balance (inflation adjusted)","$9,803"
"CAGR","1.14%"
"CAGR (inflation adjusted)","-1.40%"
"Stdev","13.18%"
"Best Year","8.95%"
"Worst Year","-6.73%"
"Max. Drawdown","-11.38%"
"Sharpe Ratio","-0.00"
"Sortino Ratio","-0.00"
"US Stock Market Correlation","0.99"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.16%"
"Arithmetic Mean (annualized)","1.97%"
"Geometric Mean (monthly)","0.09%"
"Geometric Mean (annualized)","1.14%"
"Volatility (monthly)","3.81%"
"Volatility (annualized)","13.18%"
"Downside Deviation (monthly)","2.76%"
"Max. Drawdown","-11.38%"
"US Market Correlation","0.99"
"Beta (*)","0.79"
"Alpha (annualized)","-1.83%"
"R Squared","98.13%"
"Sharpe Ratio","-0.00"
"Sortino Ratio","-0.00"
"Treynor Ratio (%)","-0.02"
"Active Return","-2.41%"
"Tracking Error","3.93%"
"Information Ratio","-0.61"
"Skewness","-0.44"
"Excess Kurtosis","-0.13"
"Historical Value-at-Risk (5%)","-6.63%"
"Analytical Value-at-Risk (5%)","-5.84%"
"Conditional Value-at-Risk (5%)","N/A"
"Upside Capture Ratio (%)","71.06"
"Downside Capture Ratio (%)","81.92"
"Safe Withdrawal Rate","91.53%"
"Perpetual Withdrawal Rate","0.00%"
"Positive Periods","11 out of 17 (64.71%)"
"Gain/Loss Ratio","0.61"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Fidelity Flex 500 Index (FDFIX)","Fidelity Flex Small Cap Index (FLXSX)","Fidelity Flex Mid Cap Index (FLAPX)","Fidelity Flex International Index (FITFX)","Fidelity Flex US Bond Index (FIBUX)","Cash (CASHX)"
"2018","1.91%","-6.73%","$9,327","-4.43%","-11.03%","-9.01%","-13.95%","0.11%","1.80%"
"2019","1.72%","8.95%","$10,161","10.70%","9.32%","13.55%","7.16%","4.79%","1.00%"
"Annual returns for 2019 are based on partial year data"

"Monthly Returns"

"Year","Month","Portfolio 1 Return","Portfolio 1 Balance","Fidelity Flex 500 Index (FDFIX)","Fidelity Flex Small Cap Index (FLXSX)","Fidelity Flex Mid Cap Index (FLAPX)","Fidelity Flex International Index (FITFX)","Fidelity Flex US Bond Index (FIBUX)","Cash (CASHX)"
