"Start Date","01/01/2012"
"End Date","12/31/2017"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"CASHX","Cash","0.50%"
"FSSVX","Fidelity Small Cap Index Premium","3.92%"
"FSTPX","Fidelity Mid Cap Index Institutional","4.90%"
"FXSIX","Fidelity 500 Index Institutional","40.18%"
"FSGDX","Fidelity Global ex US Index Premium","21.00%"
"FXNAX","Fidelity US Bond Index","25.00%"
"FCNVX","Fidelity Conservative Income Bond Instl","4.50%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$17,922"
"End Balance (inflation adjusted)","$16,406"
"CAGR","10.21%"
"CAGR (inflation adjusted)","8.60%"
"Stdev","7.01%"
"Best Year","18.69%"
"Worst Year","-0.76%"
"Max. Drawdown","-7.68%"
"Sharpe Ratio","1.40"
"Sortino Ratio","2.47"
"US Stock Market Correlation","0.96"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.83%"
"Arithmetic Mean (annualized)","10.48%"
"Geometric Mean (monthly)","0.81%"
"Geometric Mean (annualized)","10.21%"
"Volatility (monthly)","2.02%"
"Volatility (annualized)","7.01%"
"Downside Deviation (monthly)","1.15%"
"Max. Drawdown","-7.68%"
"US Market Correlation","0.96"
"Beta (*)","0.69"
"Alpha (annualized)","-0.31%"
"R Squared","92.85%"
"Sharpe Ratio","1.40"
"Sortino Ratio","2.47"
"Treynor Ratio (%)","14.31"
"Calmar Ratio","1.02"
"Active Return","-5.35%"
"Tracking Error","3.61%"
"Information Ratio","-1.48"
"Skewness","-0.51"
"Excess Kurtosis","0.85"
"Historical Value-at-Risk (5%)","-2.68%"
"Analytical Value-at-Risk (5%)","-2.47%"
"Conditional Value-at-Risk (5%)","-4.44%"
"Upside Capture Ratio (%)","67.69"
"Downside Capture Ratio (%)","76.07"
"Sustainable Withdrawal Rate","22.49%"
"Positive Periods","53 out of 72 (73.61%)"
"Gain/Loss Ratio","1.00"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Cash (CASHX)","Fidelity Small Cap Index Premium (FSSVX)","Fidelity Mid Cap Index Institutional (FSTPX)","Fidelity 500 Index Institutional (FXSIX)","Fidelity Global ex US Index Premium (FSGDX)","Fidelity US Bond Index (FXNAX)","Fidelity Conservative Income Bond Instl (FCNVX)"
"2012","1.74%","12.74%","$11,274","0.06%","16.32%","17.19%","15.96%","17.69%","4.24%","1.48%"
"2013","1.50%","18.69%","$13,381","0.00%","38.97%","34.75%","32.35%","14.18%","-2.19%","0.72%"
"2014","0.76%","6.91%","$14,306","0.00%","5.09%","13.09%","13.65%","-4.40%","5.99%","0.31%"
"2015","0.73%","-0.76%","$14,197","0.01%","-4.22%","-2.46%","1.36%","-5.72%","0.63%","0.45%"
"2016","2.07%","7.97%","$15,328","0.21%","21.58%","13.84%","11.93%","4.64%","2.51%","1.05%"
"2017","2.11%","16.92%","$17,922","0.79%","14.83%","18.46%","21.79%","27.35%","3.49%","1.40%"

"Monthly Returns"

"Year","Month","Portfolio 1 Return","Portfolio 1 Balance","Cash (CASHX)","Fidelity Small Cap Index Premium (FSSVX)","Fidelity Mid Cap Index Institutional (FSTPX)","Fidelity 500 Index Institutional (FXSIX)","Fidelity Global ex US Index Premium (FSGDX)","Fidelity US Bond Index (FXNAX)","Fidelity Conservative Income Bond Instl (FCNVX)"
"2012","1","4.09%","$10,409","0.00%","7.04%","6.06%","4.47%","7.04%","0.92%","0.27%"
"2012","2","3.13%","$10,735","0.00%","2.37%","4.17%","4.32%","5.10%","-0.11%","0.17%"
"2012","3","1.23%","$10,867","0.00%","2.57%","2.26%","3.28%","-0.93%","-0.53%","0.17%"
"2012","4","-0.44%","$10,819","0.00%","-1.59%","-0.34%","-0.63%","-1.70%","1.16%","0.07%"
"2012","5","-5.25%","$10,251","0.01%","-6.53%","-6.75%","-6.01%","-11.12%","0.91%","0.07%"
"2012","6","3.25%","$10,584","0.00%","4.92%","2.77%","4.12%","5.93%","0.13%","0.17%"
"2012","7","1.03%","$10,693","0.00%","-1.39%","0.27%","1.40%","0.71%","1.38%","0.17%"
"2012","8","1.73%","$10,878","0.01%","3.36%","3.13%","2.25%","2.43%","0.04%","0.07%"
"2012","9","2.10%","$11,107","0.01%","3.25%","2.08%","2.58%","3.55%","0.19%","0.17%"
"2012","10","-0.78%","$11,019","0.01%","-2.15%","-1.02%","-1.85%","0.48%","0.13%","0.07%"
"2012","11","0.78%","$11,105","0.01%","0.59%","1.72%","0.58%","1.90%","0.11%","0.06%"
"2012","12","1.52%","$11,274","0.01%","3.55%","2.19%","0.91%","4.32%","-0.14%","0.00%"
"2013","1","3.15%","$11,629","0.00%","6.26%","6.86%","5.17%","3.08%","-0.65%","0.16%"
"2013","2","0.54%","$11,691","0.00%","1.08%","1.41%","1.36%","-1.23%","0.51%","0.05%"
"2013","3","2.07%","$11,934","0.00%","4.60%","4.24%","3.75%","0.45%","0.10%","0.06%"
"2013","4","1.83%","$12,151","0.00%","-0.29%","1.26%","1.93%","3.63%","0.94%","0.05%"
"2013","5","0.25%","$12,181","0.00%","3.97%","2.19%","2.33%","-2.82%","-1.83%","0.05%"
"2013","6","-1.78%","$11,965","0.00%","-0.52%","-1.26%","-1.35%","-3.70%","-1.62%","-0.05%"
"2013","7","3.73%","$12,411","0.00%","7.08%","5.82%","5.08%","4.48%","0.20%","0.15%"
"2013","8","-2.03%","$12,160","0.00%","-3.20%","-2.68%","-2.89%","-1.66%","-0.67%","0.05%"
"2013","9","3.52%","$12,588","0.00%","6.41%","4.59%","3.13%","6.94%","1.16%","0.04%"
"2013","10","3.17%","$12,987","0.00%","2.53%","3.58%","4.59%","3.49%","0.74%","0.07%"
"2013","11","1.55%","$13,188","0.00%","3.98%","1.63%","3.05%","0.16%","-0.40%","0.04%"
"2013","12","1.46%","$13,381","0.00%","2.01%","2.98%","2.53%","1.08%","-0.66%","0.04%"
"2014","1","-2.24%","$13,081","0.00%","-2.78%","-1.96%","-3.47%","-5.01%","1.63%","0.04%"
"2014","2","3.52%","$13,541","0.00%","4.73%","5.80%","4.57%","5.45%","0.46%","0.03%"
"2014","3","0.29%","$13,581","0.00%","-0.65%","-0.24%","0.83%","0.24%","-0.21%","0.03%"
"2014","4","0.64%","$13,667","0.00%","-3.89%","-0.55%","0.75%","1.45%","0.83%","0.13%"
"2014","5","1.77%","$13,909","0.00%","0.81%","2.21%","2.33%","1.90%","1.17%","-0.07%"
"2014","6","1.56%","$14,125","0.00%","5.36%","3.29%","2.08%","1.64%","0.04%","0.03%"
"2014","7","-1.32%","$13,938","0.00%","-6.02%","-2.98%","-1.39%","-1.46%","-0.30%","0.03%"
"2014","8","2.53%","$14,291","0.00%","4.96%","4.82%","4.00%","0.93%","1.16%","0.03%"
"2014","9","-2.13%","$13,987","0.00%","-6.04%","-3.33%","-1.40%","-4.85%","-0.64%","0.03%"
"2014","10","1.56%","$14,205","0.00%","6.68%","3.03%","2.44%","-0.49%","0.99%","0.05%"
"2014","11","1.46%","$14,411","0.00%","0.06%","2.60%","2.68%","0.08%","0.72%","0.03%"
"2014","12","-0.73%","$14,306","0.00%","2.87%","0.18%","-0.24%","-3.86%","0.02%","-0.07%"
"2015","1","-0.84%","$14,186","0.00%","-3.16%","-1.55%","-3.01%","0.00%","2.28%","0.03%"
"2015","2","3.64%","$14,702","0.00%","5.91%","5.53%","5.75%","5.46%","-1.05%","0.03%"
"2015","3","-0.79%","$14,587","0.00%","1.80%","0.06%","-1.59%","-1.56%","0.47%","0.04%"
"2015","4","1.21%","$14,764","0.00%","-2.57%","-0.88%","0.96%","4.93%","-0.30%","0.04%"
"2015","5","0.29%","$14,807","0.00%","2.28%","1.45%","1.28%","-1.27%","-0.39%","0.04%"
"2015","6","-1.72%","$14,553","0.00%","0.79%","-2.07%","-1.92%","-2.82%","-1.08%","0.04%"
"2015","7","0.92%","$14,687","0.00%","-1.15%","0.73%","2.09%","-0.50%","0.82%","0.04%"
"2015","8","-4.59%","$14,013","0.00%","-6.28%","-5.26%","-6.05%","-7.42%","-0.22%","-0.05%"
"2015","9","-2.05%","$13,725","0.00%","-4.90%","-3.61%","-2.47%","-4.32%","0.72%","0.05%"
"2015","10","5.20%","$14,439","0.00%","5.68%","6.19%","8.43%","6.59%","0.06%","0.05%"
"2015","11","-0.12%","$14,423","0.00%","3.27%","0.29%","0.30%","-1.59%","-0.22%","0.06%"
"2015","12","-1.57%","$14,197","0.01%","-5.02%","-2.74%","-1.58%","-2.42%","-0.41%","0.08%"
"2016","1","-3.49%","$13,701","0.01%","-8.73%","-6.50%","-4.97%","-5.56%","1.35%","-0.03%"
"2016","2","-0.24%","$13,669","0.02%","0.00%","1.11%","-0.13%","-2.20%","0.81%","0.07%"
"2016","3","5.25%","$14,386","0.02%","8.01%","8.17%","6.78%","8.06%","0.90%","0.18%"
