"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTI","Vanguard Total Stock Market ETF","12.99%"
"VTV","Vanguard Value ETF","13.99%"
"VEA","Vanguard FTSE Developed Markets ETF","10.99%"
"VWO","Vanguard FTSE Emerging Markets ETF","17.99%"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","4.99%"
"BNDX","Vanguard Total International Bond ETF","2.99%"
"VTRIX","Vanguard International Value Inv","10.99%"
"VB","Vanguard Small-Cap ETF","3.11%"
"VNQ","Vanguard Real Estate ETF","6.99%"
"BND","Vanguard Total Bond Market ETF","2.99%"
"DFITX","DFA International Real Estate Sec I","6.99%"
"VSS","Vanguard FTSE All-Wld ex-US SmCp ETF","4.99%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$13,376"
"End Balance (inflation adjusted)","$12,332"
"CAGR","5.70%"
"CAGR (inflation adjusted)","4.07%"
"Stdev","9.75%"
"Best Year","20.46%"
"Worst Year","-9.32%"
"Max. Drawdown","-13.06%"
"Sharpe Ratio","0.55"
"Sortino Ratio","0.85"
"US Stock Market Correlation","0.90"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.50%"
"Arithmetic Mean (annualized)","6.19%"
"Geometric Mean (monthly)","0.46%"
"Geometric Mean (annualized)","5.70%"
"Volatility (monthly)","2.81%"
"Volatility (annualized)","9.75%"
"Downside Deviation (monthly)","1.80%"
"Max. Drawdown","-13.06%"
"US Market Correlation","0.90"
"Beta (*)","0.77"
"Alpha (annualized)","-1.91%"
"R Squared","81.67%"
"Sharpe Ratio","0.55"
"Sortino Ratio","0.85"
"Treynor Ratio (%)","7.01"
"Calmar Ratio","0.68"
"Active Return","-4.43%"
"Tracking Error","4.95%"
"Information Ratio","-0.89"
"Skewness","-0.14"
"Excess Kurtosis","1.02"
"Historical Value-at-Risk (5%)","-5.39%"
"Analytical Value-at-Risk (5%)","-4.09%"
"Conditional Value-at-Risk (5%)","-6.04%"
"Upside Capture Ratio (%)","71.26"
"Downside Capture Ratio (%)","88.25"
"Sustainable Withdrawal Rate","21.80%"
"Positive Periods","35 out of 63 (55.56%)"
"Gain/Loss Ratio","1.29"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard Value ETF (VTV)","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","Vanguard Short-Term Infl-Prot Secs ETF (VTIP)","Vanguard Total International Bond ETF (BNDX)","Vanguard International Value Inv (VTRIX)","Vanguard Small-Cap ETF (VB)","Vanguard Real Estate ETF (VNQ)","Vanguard Total Bond Market ETF (BND)","DFA International Real Estate Sec I (DFITX)","Vanguard FTSE All-Wld ex-US SmCp ETF (VSS)"
"2014","0.76%","5.32%","$10,532","12.54%","13.17%","-5.98%","-0.07%","-1.41%","8.74%","-6.69%","7.63%","30.36%","5.82%","11.10%","-5.06%"
"2015","0.73%","-3.82%","$10,129","0.36%","-0.98%","-0.38%","-15.81%","0.23%","1.19%","-6.44%","-3.76%","2.42%","0.56%","-3.62%","-0.01%"
"2016","2.07%","8.98%","$11,039","12.83%","17.12%","2.67%","12.21%","2.45%","4.61%","4.46%","18.44%","8.60%","2.52%","3.08%","4.26%"
"2017","2.11%","20.46%","$13,297","21.21%","17.14%","26.42%","31.48%","0.82%","2.40%","27.96%","16.26%","4.91%","3.57%","15.38%","30.60%"
"2018","1.91%","-9.32%","$12,058","-5.21%","-5.44%","-14.75%","-14.77%","0.56%","2.81%","-14.52%","-9.33%","-6.02%","-0.12%","-6.90%","-18.47%"
"2019","0.61%","10.93%","$13,376","14.00%","10.64%","10.64%","11.77%","1.59%","2.99%","9.44%","16.13%","17.37%","2.98%","11.82%","10.03%"
"Annual returns for 2019 are based on partial year data"

"Monthly Returns"

"Year","Month","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard Value ETF (VTV)","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","Vanguard Short-Term Infl-Prot Secs ETF (VTIP)","Vanguard Total International Bond ETF (BNDX)","Vanguard International Value Inv (VTRIX)","Vanguard Small-Cap ETF (VB)","Vanguard Real Estate ETF (VNQ)","Vanguard Total Bond Market ETF (BND)","DFA International Real Estate Sec I (DFITX)","Vanguard FTSE All-Wld ex-US SmCp ETF (VSS)"
"2014","1","-3.51%","$9,649","-3.17%","-3.69%","-5.21%","-8.43%","0.16%","1.43%","-5.19%","-2.06%","4.28%","1.55%","-1.79%","-2.59%"
"2014","2","4.32%","$10,066","4.87%","3.97%","5.95%","3.24%","0.28%","0.48%","5.28%","5.08%","5.07%","0.47%","5.88%","7.17%"
"2014","3","1.16%","$10,183","0.51%","2.69%","-0.37%","4.62%","-0.44%","0.32%","0.11%","-0.18%","0.49%","-0.17%","-0.19%","-0.56%"
"2014","4","1.15%","$10,300","0.06%","0.86%","1.57%","0.89%","0.57%","0.60%","0.91%","-2.44%","3.29%","0.80%","4.22%","1.02%"
"2014","5","2.04%","$10,510","2.10%","1.38%","1.77%","3.10%","0.73%","0.74%","2.26%","1.26%","2.40%","1.05%","2.95%","1.33%"
"2014","6","2.02%","$10,722","2.62%","1.92%","1.04%","3.17%","0.30%","0.61%","1.79%","4.97%","1.13%","0.08%","2.15%","2.31%"
"2014","7","-0.99%","$10,615","-1.99%","-1.20%","-2.37%","1.37%","-0.34%","0.50%","-2.14%","-5.02%","0.08%","-0.28%","-0.18%","-3.02%"
"2014","8","2.40%","$10,871","4.15%","3.44%","0.26%","3.84%","-0.08%","1.37%","0.03%","5.06%","3.04%","1.14%","1.75%","1.46%"
"2014","9","-4.10%","$10,425","-2.10%","-1.28%","-4.16%","-7.18%","-1.08%","-0.13%","-3.70%","-5.34%","-6.04%","-0.57%","-6.55%","-6.27%"
"2014","10","2.11%","$10,645","2.75%","1.80%","-0.35%","2.23%","0.08%","0.60%","-0.30%","4.52%","9.94%","0.72%","3.87%","-1.49%"
"2014","11","0.62%","$10,711","2.48%","2.47%","0.00%","-1.10%","-0.16%","0.91%","-0.49%","1.06%","2.00%","0.83%","0.36%","-1.89%"
"2014","12","-1.68%","$10,532","-0.04%","0.35%","-3.77%","-4.69%","-1.41%","0.98%","-4.93%","1.26%","1.88%","0.06%","-1.28%","-2.02%"
"2015","1","-0.17%","$10,514","-2.74%","-4.10%","0.71%","-0.20%","1.02%","1.79%","-0.94%","-2.14%","6.85%","2.40%","3.82%","-0.62%"
"2015","2","3.94%","$10,929","5.74%","5.31%","6.16%","4.66%","-0.21%","-0.18%","6.45%","5.80%","-3.67%","-1.31%","1.65%","6.28%"
"2015","3","-1.05%","$10,814","-1.16%","-1.32%","-1.22%","-2.05%","-0.35%","0.49%","-1.20%","1.52%","1.74%","0.55%","-2.71%","-1.34%"
"2015","4","2.51%","$11,085","0.62%","1.28%","3.87%","7.41%","0.68%","-1.03%","4.86%","-2.04%","-5.85%","-0.32%","2.23%","5.58%"
"2015","5","-0.61%","$11,018","1.30%","1.18%","-0.05%","-3.55%","-0.08%","-0.52%","-0.73%","2.02%","-0.30%","-0.50%","-2.73%","0.18%"
"2015","6","-2.32%","$10,763","-1.67%","-2.24%","-2.91%","-2.54%","-0.14%","-1.35%","-2.77%","-0.82%","-4.68%","-1.11%","-2.24%","-2.27%"
"2015","7","-0.31%","$10,729","1.70%","1.02%","1.46%","-6.26%","-0.16%","1.28%","-0.14%","-0.29%","5.77%","0.88%","0.76%","-2.92%"
"2015","8","-6.35%","$10,047","-6.09%","-5.84%","-7.23%","-9.86%","-0.39%","-0.70%","-7.72%","-5.83%","-6.29%","-0.25%","-5.50%","-5.68%"
"2015","9","-2.31%","$9,815","-2.92%","-2.54%","-4.08%","-2.88%","-0.06%","0.81%","-6.03%","-4.53%","3.05%","0.81%","0.80%","-2.32%"
"2015","10","5.72%","$10,376","7.91%","7.65%","6.73%","5.29%","0.08%","0.59%","7.16%","5.68%","5.76%","0.03%","4.98%","4.70%"
"2015","11","-0.66%","$10,308","0.60%","0.54%","-0.76%","-2.30%","-0.19%","0.19%","-1.32%","1.80%","-0.63%","-0.39%","-3.04%","0.21%"
"2015","12","-1.73%","$10,129","-2.13%","-1.15%","-2.14%","-3.44%","0.04%","-0.14%","-3.10%","-4.19%","1.82%","-0.18%","-1.17%","-1.08%"
"2016","1","-4.48%","$9,675","-5.72%","-4.76%","-5.53%","-5.75%","0.29%","1.30%","-5.44%","-7.55%","-3.44%","1.20%","-1.61%","-6.70%"
"2016","2","-0.39%","$9,637","-0.01%","0.10%","-3.08%","-0.32%","0.12%","1.26%","-2.31%","0.77%","-0.36%","0.85%","2.05%","0.46%"
"2016","3","7.78%","$10,387","7.11%","6.70%","7.20%","12.72%","1.19%","0.75%","7.69%","8.47%","10.48%","0.88%","8.23%","7.30%"
"2016","4","1.27%","$10,519","0.66%","1.52%","2.31%","1.01%","-0.18%","-0.26%","2.52%","1.77%","-2.35%","0.40%","3.34%","3.02%"
