"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VEA","Vanguard FTSE Developed Markets ETF","34.00%"
"VWO","Vanguard FTSE Emerging Markets ETF","7.00%"
"BNDX","Vanguard Total International Bond ETF","1.00%"
"VOO","Vanguard S&P 500 ETF","29.00%"
"VB","Vanguard Small-Cap ETF","13.00%"
"VO","Vanguard Mid-Cap ETF","9.00%"
"VNQ","Vanguard Real Estate ETF","7.00%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$14,270"
"End Balance (inflation adjusted)","$13,156"
"CAGR","7.01%"
"CAGR (inflation adjusted)","5.36%"
"Stdev","10.97%"
"Best Year","21.72%"
"Worst Year","-9.79%"
"Max. Drawdown","-13.48%"
"Sharpe Ratio","0.61"
"Sortino Ratio","0.92"
"US Stock Market Correlation","0.97"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.62%"
"Arithmetic Mean (annualized)","7.64%"
"Geometric Mean (monthly)","0.57%"
"Geometric Mean (annualized)","7.01%"
"Volatility (monthly)","3.17%"
"Volatility (annualized)","10.97%"
"Downside Deviation (monthly)","2.09%"
"Max. Drawdown","-13.48%"
"US Market Correlation","0.97"
"Beta (*)","0.92"
"Alpha (annualized)","-2.14%"
"R Squared","93.14%"
"Sharpe Ratio","0.61"
"Sortino Ratio","0.92"
"Treynor Ratio (%)","7.31"
"Calmar Ratio","0.77"
"Active Return","-3.12%"
"Tracking Error","3.01%"
"Information Ratio","-1.04"
"Skewness","-0.37"
"Excess Kurtosis","1.40"
"Historical Value-at-Risk (5%)","-6.40%"
"Analytical Value-at-Risk (5%)","-4.55%"
"Conditional Value-at-Risk (5%)","-7.34%"
"Upside Capture Ratio (%)","85.56"
"Downside Capture Ratio (%)","101.72"
"Sustainable Withdrawal Rate","22.57%"
"Positive Periods","43 out of 63 (68.25%)"
"Gain/Loss Ratio","0.79"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","Vanguard Total International Bond ETF (BNDX)","Vanguard S&P 500 ETF (VOO)","Vanguard Small-Cap ETF (VB)","Vanguard Mid-Cap ETF (VO)","Vanguard Real Estate ETF (VNQ)"
"2014","0.76%","6.33%","$10,633","-5.98%","-0.07%","8.74%","13.55%","7.63%","13.75%","30.36%"
"2015","0.73%","-1.28%","$10,497","-0.38%","-15.81%","1.19%","1.31%","-3.76%","-1.35%","2.42%"
"2016","2.07%","9.35%","$11,479","2.67%","12.21%","4.61%","12.17%","18.44%","11.26%","8.60%"
"2017","2.11%","21.72%","$13,971","26.42%","31.48%","2.40%","21.77%","16.26%","19.27%","4.91%"
"2018","1.91%","-9.79%","$12,603","-14.75%","-14.77%","2.81%","-4.50%","-9.33%","-9.22%","-6.02%"
"2019","0.61%","13.22%","$14,270","10.64%","11.77%","2.99%","13.57%","16.13%","16.73%","17.37%"
"Annual returns for 2019 are based on partial year data"

"Monthly Returns"

"Year","Month","Portfolio 1 Return","Portfolio 1 Balance","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","Vanguard Total International Bond ETF (BNDX)","Vanguard S&P 500 ETF (VOO)","Vanguard Small-Cap ETF (VB)","Vanguard Mid-Cap ETF (VO)","Vanguard Real Estate ETF (VNQ)"
"2014","1","-3.55%","$9,645","-5.21%","-8.43%","1.43%","-3.53%","-2.06%","-2.39%","4.28%"
"2014","2","5.14%","$10,140","5.95%","3.24%","0.48%","4.57%","5.08%","6.06%","5.07%"
"2014","3","0.43%","$10,183","-0.37%","4.62%","0.32%","0.88%","-0.18%","-0.26%","0.49%"
"2014","4","0.65%","$10,250","1.57%","0.89%","0.60%","0.72%","-2.44%","-0.85%","3.29%"
"2014","5","2.04%","$10,459","1.77%","3.10%","0.74%","2.29%","1.26%","2.33%","2.40%"
"2014","6","2.17%","$10,685","1.04%","3.17%","0.61%","2.09%","4.97%","2.99%","1.13%"
"2014","7","-1.96%","$10,476","-2.37%","1.37%","0.50%","-1.38%","-5.02%","-2.48%","0.08%"
"2014","8","2.84%","$10,773","0.26%","3.84%","1.37%","3.97%","5.06%","4.70%","3.04%"
"2014","9","-3.73%","$10,372","-4.16%","-7.18%","-0.13%","-1.38%","-5.34%","-3.19%","-6.04%"
"2014","10","2.43%","$10,624","-0.35%","2.23%","0.60%","2.40%","4.52%","3.40%","9.94%"
"2014","11","1.33%","$10,765","0.00%","-1.10%","0.91%","2.76%","1.06%","2.84%","2.00%"
"2014","12","-1.22%","$10,633","-3.77%","-4.69%","0.98%","-0.32%","1.26%","0.31%","1.88%"
"2015","1","-0.57%","$10,573","0.71%","-0.20%","1.79%","-2.87%","-2.14%","-2.01%","6.85%"
"2015","2","5.03%","$11,105","6.16%","4.66%","-0.18%","5.58%","5.80%","6.03%","-3.67%"
"2015","3","-0.39%","$11,061","-1.22%","-2.05%","0.49%","-1.57%","1.52%","3.39%","1.74%"
"2015","4","1.12%","$11,186","3.87%","7.41%","-1.03%","1.00%","-2.04%","-3.40%","-5.85%"
"2015","5","0.41%","$11,231","-0.05%","-3.55%","-0.52%","1.25%","2.02%","1.12%","-0.30%"
"2015","6","-2.33%","$10,969","-2.91%","-2.54%","-1.35%","-1.95%","-0.82%","-1.70%","-4.68%"
"2015","7","1.14%","$11,094","1.46%","-6.26%","1.28%","2.18%","-0.29%","1.17%","5.77%"
"2015","8","-6.59%","$10,362","-7.23%","-9.86%","-0.70%","-6.14%","-5.83%","-5.15%","-6.29%"
"2015","9","-3.04%","$10,048","-4.08%","-2.88%","0.81%","-2.47%","-4.53%","-3.68%","3.05%"
"2015","10","6.80%","$10,731","6.73%","5.29%","0.59%","8.45%","5.68%","5.97%","5.76%"
"2015","11","-0.07%","$10,724","-0.76%","-2.30%","0.19%","0.43%","1.80%","0.30%","-0.63%"
"2015","12","-2.12%","$10,497","-2.14%","-3.44%","-0.14%","-1.74%","-4.19%","-2.66%","1.82%"
"2016","1","-5.60%","$9,909","-5.53%","-5.75%","1.30%","-4.91%","-7.55%","-7.61%","-3.44%"
"2016","2","-0.93%","$9,817","-3.08%","-0.32%","1.26%","-0.21%","0.77%","1.37%","-0.36%"
"2016","3","7.89%","$10,592","7.20%","12.72%","0.75%","6.87%","8.47%","8.03%","10.48%"
"2016","4","1.04%","$10,703","2.31%","1.01%","-0.26%","0.35%","1.77%","0.52%","-2.35%"
"2016","5","0.75%","$10,783","-0.30%","-3.24%","0.75%","1.75%","1.89%","1.84%","2.25%"
"2016","6","0.33%","$10,819","-2.04%","4.93%","1.95%","0.32%","0.34%","0.00%","6.92%"
"2016","7","4.21%","$11,275","4.16%","5.14%","0.82%","3.68%","5.01%","4.57%","4.26%"
"2016","8","0.04%","$11,279","0.41%","0.78%","0.07%","0.12%","0.68%","0.11%","-3.76%"
"2016","9","0.65%","$11,353","1.65%","2.05%","0.01%","0.04%","0.39%","0.42%","-1.82%"
"2016","10","-2.53%","$11,065","-2.41%","0.32%","-1.26%","-1.79%","-4.06%","-3.07%","-5.74%"
"2016","11","1.70%","$11,253","-1.51%","-4.05%","-1.25%","3.73%","8.57%","4.69%","-1.68%"
"2016","12","2.01%","$11,479","2.45%","-0.74%","0.43%","2.07%","1.92%","0.70%","4.82%"
"2017","1","2.61%","$11,778","3.67%","5.76%","-0.98%","1.78%","1.53%","2.96%","-0.19%"
"2017","2","2.46%","$12,068","1.06%","2.25%","0.88%","3.88%","2.32%","3.05%","3.51%"
"2017","3","1.09%","$12,200","3.06%","2.84%","-0.03%","0.13%","-0.19%","0.04%","-2.42%"
"2017","4","1.41%","$12,372","2.21%","1.56%","0.49%","1.04%","0.86%","1.17%","0.24%"
"2017","5","1.57%","$12,566","3.41%","0.99%","0.73%","1.40%","-1.11%","0.91%","-0.72%"
"2017","6","0.93%","$12,682","0.64%","0.85%","-0.54%","0.63%","2.16%","0.59%","2.23%"
"2017","7","2.39%","$12,985","2.88%","5.34%","0.16%","2.06%","1.19%","1.80%","1.24%"
"2017","8","0.14%","$13,003","0.02%","3.00%","0.93%","0.29%","-0.93%","-0.61%","-0.26%"
"2017","9","2.16%","$13,284","2.52%","-0.49%","-0.40%","2.04%","4.41%","2.29%","-0.11%"
