"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"CASHX","Cash","7.06%"
"SCHH","Schwab US REIT ETF","3.15%"
"IEMG","iShares Core MSCI Emerging Markets ETF","2.43%"
"IAU","iShares Gold Trust","1.94%"
"SCHE","Schwab Emerging Markets Equity ETF","0.40%"
"FNDE","Schwab Fundamental Emerg Mkts Lg Co ETF","4.66%"
"FNDF","Schwab Fundamental Intl Lg Co ETF","11.63%"
"FNDC","Schwab Fundamental Intl Sm Co ETF","4.77%"
"FNDX","Schwab Fundamental US Large Company ETF","16.18%"
"FNDA","Schwab Fundamental US Small Company ETF","10.52%"
"SCHR","Schwab Intermediate-Term US Trs ETF","2.10%"
"SCHF","Schwab International Equity ETF","7.76%"
"SCHC","Schwab International Small-Cap Eq ETF","3.88%"
"SCHX","Schwab US Large-Cap ETF","7.42%"
"SCHA","Schwab US Small-Cap ETF","6.31%"
"SCHP","Schwab US TIPS ETF","2.02%"
"EBND","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF","1.96%"
"VNQI","Vanguard Global ex-US Real Est ETF","1.91%"
"VOO","Vanguard S&P 500 ETF","3.90%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$13,264"
"End Balance (inflation adjusted)","$12,229"
"CAGR","5.53%"
"CAGR (inflation adjusted)","3.91%"
"Stdev","9.64%"
"Best Year","18.45%"
"Worst Year","-9.36%"
"Max. Drawdown","-12.68%"
"Sharpe Ratio","0.54"
"Sortino Ratio","0.82"
"US Stock Market Correlation","0.95"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.49%"
"Arithmetic Mean (annualized)","6.01%"
"Geometric Mean (monthly)","0.45%"
"Geometric Mean (annualized)","5.53%"
"Volatility (monthly)","2.78%"
"Volatility (annualized)","9.64%"
"Downside Deviation (monthly)","1.82%"
"Max. Drawdown","-12.68%"
"US Market Correlation","0.95"
"Beta (*)","0.80"
"Alpha (annualized)","-2.37%"
"R Squared","89.76%"
"Sharpe Ratio","0.54"
"Sortino Ratio","0.82"
"Treynor Ratio (%)","6.54"
"Calmar Ratio","0.70"
"Active Return","-4.59%"
"Tracking Error","3.88%"
"Information Ratio","-1.19"
"Skewness","-0.22"
"Excess Kurtosis","1.25"
"Historical Value-at-Risk (5%)","-5.13%"
"Analytical Value-at-Risk (5%)","-4.06%"
"Conditional Value-at-Risk (5%)","-6.18%"
"Upside Capture Ratio (%)","71.11"
"Downside Capture Ratio (%)","89.45"
"Safe Withdrawal Rate","21.71%"
"Perpetual Withdrawal Rate","3.95%"
"Positive Periods","41 out of 63 (65.08%)"
"Gain/Loss Ratio","0.87"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Cash (CASHX)","Schwab US REIT ETF (SCHH)","iShares Core MSCI Emerging Markets ETF (IEMG)","iShares Gold Trust (IAU)","Schwab Emerging Markets Equity ETF (SCHE)","Schwab Fundamental Emerg Mkts Lg Co ETF (FNDE)","Schwab Fundamental Intl Lg Co ETF (FNDF)","Schwab Fundamental Intl Sm Co ETF (FNDC)","Schwab Fundamental US Large Company ETF (FNDX)","Schwab Fundamental US Small Company ETF (FNDA)","Schwab Intermediate-Term US Trs ETF (SCHR)","Schwab International Equity ETF (SCHF)","Schwab International Small-Cap Eq ETF (SCHC)","Schwab US Large-Cap ETF (SCHX)","Schwab US Small-Cap ETF (SCHA)","Schwab US TIPS ETF (SCHP)","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF (EBND)","Vanguard Global ex-US Real Est ETF (VNQI)","Vanguard S&P 500 ETF (VOO)"
"2014","0.76%","3.52%","$10,352","0.00%","31.87%","-3.44%","-2.05%","-0.05%","-11.63%","-6.50%","-5.15%","12.44%","7.82%","4.45%","-5.69%","-7.27%","13.33%","6.55%","4.10%","-4.28%","2.22%","13.55%"
"2015","0.73%","-3.35%","$10,005","0.01%","4.38%","-14.31%","-10.58%","-16.33%","-20.15%","-5.25%","4.91%","-2.98%","-5.07%","1.56%","-2.50%","2.31%","1.04%","-4.16%","-1.78%","-13.48%","-1.84%","1.31%"
"2016","2.07%","11.95%","$11,200","0.21%","6.46%","10.29%","8.31%","13.05%","32.58%","7.93%","8.75%","16.40%","23.54%","0.95%","3.03%","2.99%","11.88%","19.96%","4.64%","8.14%","2.01%","12.17%"
"2017","2.11%","18.45%","$13,266","0.79%","3.68%","37.40%","12.91%","32.67%","26.74%","23.95%","29.20%","17.11%","12.68%","1.59%","26.00%","29.38%","21.94%","14.93%","3.02%","13.93%","26.93%","21.77%"
"2018","1.91%","-9.36%","$12,025","1.80%","-4.22%","-14.92%","-1.76%","-13.56%","-10.34%","-14.26%","-19.13%","-7.31%","-12.09%","1.46%","-14.32%","-18.63%","-4.53%","-11.77%","-1.42%","-6.52%","-9.42%","-4.50%"
"2019","0.61%","10.31%","$13,264","0.57%","15.69%","9.67%","0.73%","10.54%","7.36%","9.36%","9.59%","12.30%","13.63%","1.98%","10.44%","10.82%","13.73%","15.53%","3.29%","2.28%","13.66%","13.57%"
"Annual returns for 2019 are based on partial year data"

"Monthly Returns"

"Year","Month","Portfolio 1 Return","Portfolio 1 Balance","Cash (CASHX)","Schwab US REIT ETF (SCHH)","iShares Core MSCI Emerging Markets ETF (IEMG)","iShares Gold Trust (IAU)","Schwab Emerging Markets Equity ETF (SCHE)","Schwab Fundamental Emerg Mkts Lg Co ETF (FNDE)","Schwab Fundamental Intl Lg Co ETF (FNDF)","Schwab Fundamental Intl Sm Co ETF (FNDC)","Schwab Fundamental US Large Company ETF (FNDX)","Schwab Fundamental US Small Company ETF (FNDA)","Schwab Intermediate-Term US Trs ETF (SCHR)","Schwab International Equity ETF (SCHF)","Schwab International Small-Cap Eq ETF (SCHC)","Schwab US Large-Cap ETF (SCHX)","Schwab US Small-Cap ETF (SCHA)","Schwab US TIPS ETF (SCHP)","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF (EBND)","Vanguard Global ex-US Real Est ETF (VNQI)","Vanguard S&P 500 ETF (VOO)"
"2014","1","-3.24%","$9,676","0.00%","3.80%","-7.99%","3.34%","-8.90%","-8.49%","-4.51%","-3.34%","-3.93%","-3.36%","1.54%","-4.73%","-3.38%","-3.22%","-2.17%","2.35%","-4.91%","-5.32%","-3.53%"
"2014","2","4.33%","$10,095","0.00%","5.25%","3.38%","6.46%","3.48%","1.75%","6.44%","5.26%","4.17%","5.25%","0.28%","4.96%","6.91%","4.59%","5.12%","0.41%","3.11%","3.97%","4.57%"
"2014","3","0.72%","$10,167","0.00%","0.83%","3.59%","-3.19%","4.92%","3.44%","0.21%","-0.50%","2.09%","0.82%","-0.68%","-0.10%","0.12%","0.66%","-0.32%","-0.52%","1.89%","0.82%","0.88%"
"2014","4","0.58%","$10,227","0.00%","3.71%","0.98%","0.48%","0.78%","0.77%","2.04%","0.39%","1.05%","-1.71%","0.52%","1.52%","0.39%","0.63%","-2.78%","1.35%","1.59%","2.26%","0.72%"
"2014","5","1.60%","$10,391","0.00%","2.53%","2.80%","-2.96%","2.49%","3.61%","1.00%","2.00%","1.93%","1.39%","1.13%","1.66%","1.00%","2.33%","0.61%","1.93%","2.49%","4.67%","2.29%"
"2014","6","2.06%","$10,605","0.00%","0.91%","2.35%","6.18%","3.58%","2.44%","1.23%","1.93%","1.81%","3.88%","-0.14%","1.45%","2.39%","2.19%","4.94%","0.40%","1.13%","0.93%","2.09%"
