"Start Date","01/01/2012"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTI","Vanguard Total Stock Market ETF","60.00%"
"VXUS","Vanguard Total International Stock ETF","30.00%"
"BND","Vanguard Total Bond Market ETF","10.00%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$20,856"
"End Balance (inflation adjusted)","$18,619"
"CAGR","10.67%"
"CAGR (inflation adjusted)","8.95%"
"Stdev","10.00%"
"Best Year","24.25%"
"Worst Year","-7.47%"
"Max. Drawdown","-12.00%"
"Sharpe Ratio","1.02"
"Sortino Ratio","1.62"
"US Stock Market Correlation","0.97"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.89%"
"Arithmetic Mean (annualized)","11.22%"
"Geometric Mean (monthly)","0.85%"
"Geometric Mean (annualized)","10.67%"
"Volatility (monthly)","2.89%"
"Volatility (annualized)","10.00%"
"Downside Deviation (monthly)","1.80%"
"Max. Drawdown","-12.00%"
"US Market Correlation","0.97"
"Beta (*)","0.88"
"Alpha (annualized)","-1.33%"
"R Squared","94.32%"
"Sharpe Ratio","1.02"
"Sortino Ratio","1.62"
"Treynor Ratio (%)","11.66"
"Calmar Ratio","0.90"
"Active Return","-3.25%"
"Tracking Error","2.76%"
"Information Ratio","-1.18"
"Skewness","-0.60"
"Excess Kurtosis","1.02"
"Historical Value-at-Risk (5%)","-5.54%"
"Analytical Value-at-Risk (5%)","-3.83%"
"Conditional Value-at-Risk (5%)","-6.73%"
"Upside Capture Ratio (%)","83.95"
"Downside Capture Ratio (%)","96.01"
"Sustainable Withdrawal Rate","21.07%"
"Positive Periods","63 out of 87 (72.41%)"
"Gain/Loss Ratio","0.84"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard Total International Stock ETF (VXUS)","Vanguard Total Bond Market ETF (BND)"
"2012","1.74%","15.77%","$11,577","16.45%","18.61%","3.16%"
"2013","1.50%","24.25%","$14,384","33.45%","14.61%","-2.10%"
"2014","0.76%","6.69%","$15,345","12.54%","-4.74%","5.82%"
"2015","0.73%","-0.98%","$15,194","0.36%","-4.19%","0.56%"
"2016","2.07%","9.39%","$16,621","12.83%","4.81%","2.52%"
"2017","2.11%","21.32%","$20,165","21.21%","27.45%","3.57%"
"2018","1.91%","-7.47%","$18,659","-5.21%","-14.43%","-0.12%"
"2019","0.61%","11.78%","$20,856","14.00%","10.27%","2.98%"
"Annual returns for 2019 are based on partial year data"

"Monthly Returns"

"Year","Month","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard Total International Stock ETF (VXUS)","Vanguard Total Bond Market ETF (BND)"
"2012","1","5.31%","$10,531","5.07%","7.33%","0.63%"
"2012","2","3.92%","$10,944","4.22%","4.56%","0.04%"
"2012","3","1.62%","$11,121","3.06%","-0.54%","-0.51%"
"2012","4","-0.91%","$11,020","-0.64%","-2.08%","1.10%"
"2012","5","-6.94%","$10,255","-6.23%","-10.83%","0.93%"
"2012","6","4.20%","$10,686","4.05%","5.97%","0.07%"
"2012","7","0.74%","$10,766","0.88%","0.31%","1.23%"
"2012","8","2.43%","$11,027","2.70%","2.60%","0.16%"
"2012","9","2.54%","$11,307","2.49%","3.41%","0.18%"
"2012","10","-0.89%","$11,207","-1.81%","0.81%","-0.10%"
"2012","11","1.11%","$11,332","0.77%","2.06%","0.27%"
"2012","12","2.16%","$11,577","1.29%","4.88%","-0.88%"
"2013","1","3.90%","$12,029","5.42%","2.40%","-0.69%"
"2013","2","0.49%","$12,088","1.28%","-1.14%","0.54%"
"2013","3","2.70%","$12,414","3.95%","0.93%","0.08%"
"2013","4","2.09%","$12,674","1.61%","3.50%","1.01%"
"2013","5","0.38%","$12,722","2.44%","-3.30%","-1.93%"
"2013","6","-2.05%","$12,461","-1.43%","-3.57%","-1.65%"
"2013","7","4.95%","$13,078","5.75%","4.62%","0.38%"
"2013","8","-2.55%","$12,745","-3.03%","-1.95%","-0.86%"
"2013","9","4.65%","$13,338","3.90%","7.51%","1.11%"
"2013","10","3.81%","$13,846","4.27%","3.67%","0.86%"
"2013","11","1.73%","$14,085","2.70%","0.13%","-0.29%"
"2013","12","2.12%","$14,384","2.73%","1.52%","-0.64%"
"2014","1","-3.37%","$13,899","-3.17%","-5.40%","1.55%"
"2014","2","4.62%","$14,541","4.87%","5.59%","0.47%"
"2014","3","0.43%","$14,604","0.51%","0.49%","-0.17%"
"2014","4","0.49%","$14,676","0.06%","1.26%","0.80%"
"2014","5","1.94%","$14,961","2.10%","1.93%","1.05%"
"2014","6","2.15%","$15,283","2.62%","1.89%","0.08%"
"2014","7","-1.75%","$15,016","-1.99%","-1.73%","-0.28%"
"2014","8","2.96%","$15,461","4.15%","1.16%","1.14%"
"2014","9","-2.80%","$15,027","-2.10%","-5.01%","-0.57%"
"2014","10","1.74%","$15,288","2.75%","-0.08%","0.72%"
"2014","11","1.48%","$15,514","2.48%","-0.51%","0.83%"
"2014","12","-1.09%","$15,345","-0.04%","-3.87%","0.06%"
"2015","1","-1.32%","$15,143","-2.74%","0.27%","2.40%"
"2015","2","5.02%","$15,903","5.74%","5.78%","-1.31%"
"2015","3","-1.09%","$15,729","-1.16%","-1.49%","0.55%"
"2015","4","1.80%","$16,013","0.62%","4.81%","-0.32%"
"2015","5","0.43%","$16,082","1.30%","-0.91%","-0.50%"
"2015","6","-1.95%","$15,768","-1.67%","-2.73%","-1.11%"
"2015","7","0.93%","$15,914","1.70%","-0.56%","0.88%"
"2015","8","-5.93%","$14,970","-6.09%","-7.43%","-0.25%"
"2015","9","-2.82%","$14,549","-2.92%","-3.85%","0.81%"
"2015","10","6.58%","$15,506","7.91%","6.25%","0.03%"
"2015","11","-0.06%","$15,496","0.60%","-1.32%","-0.39%"
"2015","12","-1.95%","$15,194","-2.13%","-2.17%","-0.18%"
"2016","1","-4.95%","$14,442","-5.72%","-5.45%","1.20%"
"2016","2","-0.65%","$14,348","-0.01%","-2.46%","0.85%"
"2016","3","6.80%","$15,324","7.11%","8.33%","0.88%"
"2016","4","1.08%","$15,489","0.66%","2.16%","0.40%"
"2016","5","0.74%","$15,604","1.73%","-0.98%","-0.01%"
"2016","6","0.10%","$15,620","0.27%","-0.90%","2.02%"
"2016","7","3.79%","$16,212","3.98%","4.52%","0.60%"
"2016","8","0.23%","$16,248","0.21%","0.45%","-0.31%"
"2016","9","0.64%","$16,352","0.21%","1.70%","0.11%"
"2016","10","-1.98%","$16,027","-2.19%","-1.91%","-0.94%"
"2016","11","1.85%","$16,324","4.49%","-2.01%","-2.57%"
"2016","12","1.82%","$16,621","1.98%","1.96%","0.33%"
"2017","1","2.35%","$17,013","1.86%","4.08%","0.19%"
"2017","2","2.68%","$17,468","3.69%","1.34%","0.62%"
"2017","3","0.93%","$17,630","0.06%","3.00%","-0.04%"
"2017","4","1.34%","$17,867","1.06%","2.05%","0.80%"
"2017","5","1.59%","$18,150","1.01%","2.96%","0.71%"
"2017","6","0.77%","$18,289","0.95%","0.63%","0.05%"
"2017","7","2.21%","$18,693","1.88%","3.37%","0.40%"
"2017","8","0.34%","$18,756","0.15%","0.54%","0.86%"
"2017","9","2.00%","$19,131","2.44%","1.88%","-0.47%"
"2017","10","1.93%","$19,499","2.17%","2.03%","-0.03%"
"2017","11","1.99%","$19,888","3.03%","0.63%","-0.11%"
"2017","12","1.39%","$20,165","1.16%","2.07%","0.54%"
"2018","1","4.73%","$21,119","5.23%","5.72%","-1.24%"
"2018","2","-3.95%","$20,284","-3.76%","-5.24%","-1.04%"
"2018","3","-1.23%","$20,035","-1.95%","-0.38%","0.69%"
"2018","4","0.32%","$20,100","0.45%","0.46%","-0.85%"
"2018","5","1.21%","$20,342","2.72%","-1.64%","0.68%"
"2018","6","-0.20%","$20,301","0.70%","-2.14%","-0.04%"
"2018","7","2.77%","$20,864","3.32%","2.55%","-0.04%"
"2018","8","1.50%","$21,176","3.43%","-2.40%","0.67%"
"2018","9","0.13%","$21,204","0.20%","0.21%","-0.55%"
"2018","10","-7.11%","$19,695","-7.41%","-8.56%","-0.86%"
"2018","11","1.79%","$20,047","2.01%","1.68%","0.64%"
"2018","12","-6.93%","$18,659","-9.16%","-4.93%","1.87%"
"2019","1","7.54%","$20,065","8.54%","7.67%","1.11%"
"2019","2","2.64%","$20,594","3.56%","1.63%","-0.09%"
