"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTABX","Vanguard Total Intl Bd Idx Admiral","3.00%"
"VBTLX","Vanguard Total Bond Market Index Adm","7.00%"
"VTIAX","Vanguard Total Intl Stock Index Admiral","18.00%"
"VWILX","Vanguard International Growth Adm","9.00%"
"VTRIX","Vanguard International Value Inv","9.00%"
"VWUAX","Vanguard US Growth Admiral","9.00%"
"VWNAX","Vanguard Windsor II Admiral","9.00%"
"VSEQX","Vanguard Strategic Equity Inv","4.50%"
"VEXRX","Vanguard Explorer Adm","4.50%"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","27.00%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$14,335"
"End Balance (inflation adjusted)","$13,217"
"CAGR","7.10%"
"CAGR (inflation adjusted)","5.46%"
"Stdev","10.37%"
"Best Year","23.43%"
"Worst Year","-7.69%"
"Max. Drawdown","-12.85%"
"Sharpe Ratio","0.65"
"Sortino Ratio","0.99"
"US Stock Market Correlation","0.97"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.62%"
"Arithmetic Mean (annualized)","7.67%"
"Geometric Mean (monthly)","0.57%"
"Geometric Mean (annualized)","7.10%"
"Volatility (monthly)","2.99%"
"Volatility (annualized)","10.37%"
"Downside Deviation (monthly)","1.95%"
"Max. Drawdown","-12.85%"
"US Market Correlation","0.97"
"Beta (*)","0.87"
"Alpha (annualized)","-1.61%"
"R Squared","93.50%"
"Sharpe Ratio","0.65"
"Sortino Ratio","0.99"
"Treynor Ratio (%)","7.75"
"Calmar Ratio","0.87"
"Active Return","-3.02%"
"Tracking Error","3.02%"
"Information Ratio","-1.00"
"Skewness","-0.43"
"Excess Kurtosis","1.13"
"Historical Value-at-Risk (5%)","-6.00%"
"Analytical Value-at-Risk (5%)","-4.26%"
"Conditional Value-at-Risk (5%)","-6.95%"
"Upside Capture Ratio (%)","83.39"
"Downside Capture Ratio (%)","97.27"
"Sustainable Withdrawal Rate","22.41%"
"Positive Periods","43 out of 63 (68.25%)"
"Gain/Loss Ratio","0.81"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Intl Bd Idx Admiral (VTABX)","Vanguard Total Bond Market Index Adm (VBTLX)","Vanguard Total Intl Stock Index Admiral (VTIAX)","Vanguard International Growth Adm (VWILX)","Vanguard International Value Inv (VTRIX)","Vanguard US Growth Admiral (VWUAX)","Vanguard Windsor II Admiral (VWNAX)","Vanguard Strategic Equity Inv (VSEQX)","Vanguard Explorer Adm (VEXRX)","Vanguard Total Stock Mkt Idx Adm (VTSAX)"
"2014","0.76%","5.22%","$10,522","8.82%","5.89%","-4.17%","-5.51%","-6.69%","13.20%","11.26%","13.68%","4.08%","12.56%"
"2015","0.73%","-0.99%","$10,418","1.06%","0.40%","-4.26%","-0.54%","-6.44%","8.61%","-3.14%","-1.41%","-4.22%","0.39%"
"2016","2.07%","7.68%","$11,217","4.66%","2.60%","4.67%","1.84%","4.46%","-0.59%","13.49%","17.92%","12.47%","12.66%"
"2017","2.11%","23.43%","$13,846","2.39%","3.56%","27.55%","43.16%","27.96%","31.74%","16.89%","13.78%","23.10%","21.17%"
"2018","1.91%","-7.69%","$12,781","2.93%","-0.03%","-14.43%","-12.58%","-14.52%","0.75%","-8.53%","-11.91%","-2.39%","-5.17%"
"2019","0.61%","12.16%","$14,335","3.09%","2.94%","10.24%","14.92%","9.44%","16.22%","11.96%","15.76%","17.55%","14.04%"
"Annual returns for 2019 are based on partial year data"

"Monthly Returns"

"Year","Month","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Intl Bd Idx Admiral (VTABX)","Vanguard Total Bond Market Index Adm (VBTLX)","Vanguard Total Intl Stock Index Admiral (VTIAX)","Vanguard International Growth Adm (VWILX)","Vanguard International Value Inv (VTRIX)","Vanguard US Growth Admiral (VWUAX)","Vanguard Windsor II Admiral (VWNAX)","Vanguard Strategic Equity Inv (VSEQX)","Vanguard Explorer Adm (VEXRX)","Vanguard Total Stock Mkt Idx Adm (VTSAX)"
"2014","1","-3.29%","$9,671","1.48%","1.55%","-4.75%","-5.63%","-5.19%","-2.81%","-3.46%","-2.03%","-2.61%","-3.11%"
"2014","2","4.74%","$10,130","0.42%","0.49%","5.40%","5.37%","5.28%","6.76%","4.53%","6.02%","4.83%","4.75%"
"2014","3","0.09%","$10,139","0.28%","-0.14%","0.41%","-0.18%","0.11%","-2.96%","1.99%","0.71%","-1.22%","0.52%"
"2014","4","0.22%","$10,161","0.63%","0.78%","1.32%","0.39%","0.91%","-0.95%","0.74%","-0.89%","-3.65%","0.06%"
"2014","5","1.96%","$10,361","0.81%","1.06%","1.90%","1.55%","2.26%","3.35%","1.94%","2.03%","0.62%","2.17%"
"2014","6","2.06%","$10,574","0.56%","0.12%","1.75%","1.16%","1.79%","2.56%","1.85%","3.34%","4.74%","2.57%"
"2014","7","-1.86%","$10,377","0.58%","-0.25%","-1.58%","-1.47%","-2.14%","-1.67%","-2.07%","-2.99%","-5.32%","-1.98%"
"2014","8","2.69%","$10,656","1.29%","1.14%","1.05%","1.12%","0.03%","4.13%","3.61%","4.78%","5.11%","4.18%"
"2014","9","-2.89%","$10,348","-0.04%","-0.71%","-5.03%","-4.56%","-3.70%","-1.48%","-1.63%","-3.93%","-4.16%","-2.11%"
"2014","10","1.62%","$10,515","0.58%","0.95%","-0.26%","0.33%","-0.30%","3.59%","1.46%","3.31%","4.40%","2.74%"
"2014","11","1.51%","$10,674","1.07%","0.66%","-0.29%","1.46%","-0.49%","3.33%","2.68%","2.39%","0.90%","2.43%"
"2014","12","-1.43%","$10,522","0.84%","0.10%","-3.66%","-4.65%","-4.93%","-0.83%","-0.58%","0.69%","1.17%","0.00%"
"2015","1","-1.21%","$10,395","1.83%","2.32%","0.19%","0.22%","-0.94%","-1.34%","-3.96%","-0.81%","-3.00%","-2.77%"
