"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTABX","Vanguard Total Intl Bd Idx Admiral","11.61%"
"VBTLX","Vanguard Total Bond Market Index Adm","13.41%"
"VTIAX","Vanguard Total Intl Stock Index Admiral","16.11%"
"VWILX","Vanguard International Growth Adm","4.40%"
"VTRIX","Vanguard International Value Inv","4.30%"
"VWUAX","Vanguard US Growth Admiral","5.90%"
"VWNAX","Vanguard Windsor II Admiral","5.75%"
"VSEQX","Vanguard Strategic Equity Inv","2.40%"
"VEXRX","Vanguard Explorer Adm","2.50%"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","20.22%"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","5.40%"
"VFIDX","Vanguard Interm-Term Investment-Grde Adm","8.00%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$13,567"
"End Balance (inflation adjusted)","$12,508"
"CAGR","5.98%"
"CAGR (inflation adjusted)","4.35%"
"Stdev","7.10%"
"Best Year","16.78%"
"Worst Year","-4.99%"
"Max. Drawdown","-8.46%"
"Sharpe Ratio","0.77"
"Sortino Ratio","1.18"
"US Stock Market Correlation","0.95"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.51%"
"Arithmetic Mean (annualized)","6.24%"
"Geometric Mean (monthly)","0.49%"
"Geometric Mean (annualized)","5.98%"
"Volatility (monthly)","2.05%"
"Volatility (annualized)","7.10%"
"Downside Deviation (monthly)","1.30%"
"Max. Drawdown","-8.46%"
"US Market Correlation","0.95"
"Beta (*)","0.59"
"Alpha (annualized)","-0.02%"
"R Squared","90.95%"
"Sharpe Ratio","0.77"
"Sortino Ratio","1.18"
"Treynor Ratio (%)","9.21"
"Calmar Ratio","1.00"
"Active Return","-4.14%"
"Tracking Error","5.17%"
"Information Ratio","-0.80"
"Skewness","-0.41"
"Excess Kurtosis","1.17"
"Historical Value-at-Risk (5%)","-4.11%"
"Analytical Value-at-Risk (5%)","-2.83%"
"Conditional Value-at-Risk (5%)","-4.67%"
"Upside Capture Ratio (%)","59.19"
"Downside Capture Ratio (%)","64.04"
"Safe Withdrawal Rate","22.12%"
"Perpetual Withdrawal Rate","4.38%"
"Positive Periods","43 out of 63 (68.25%)"
"Gain/Loss Ratio","0.89"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Intl Bd Idx Admiral (VTABX)","Vanguard Total Bond Market Index Adm (VBTLX)","Vanguard Total Intl Stock Index Admiral (VTIAX)","Vanguard International Growth Adm (VWILX)","Vanguard International Value Inv (VTRIX)","Vanguard US Growth Admiral (VWUAX)","Vanguard Windsor II Admiral (VWNAX)","Vanguard Strategic Equity Inv (VSEQX)","Vanguard Explorer Adm (VEXRX)","Vanguard Total Stock Mkt Idx Adm (VTSAX)","Vanguard Short-Term Investment-Grade Adm (VFSUX)","Vanguard Interm-Term Investment-Grde Adm (VFIDX)"
"2014","0.76%","5.58%","$10,558","8.82%","5.89%","-4.17%","-5.51%","-6.69%","13.20%","11.26%","13.68%","4.08%","12.56%","1.86%","5.91%"
"2015","0.73%","-0.35%","$10,521","1.06%","0.40%","-4.26%","-0.54%","-6.44%","8.61%","-3.14%","-1.41%","-4.22%","0.39%","1.13%","1.63%"
"2016","2.07%","6.43%","$11,197","4.66%","2.60%","4.67%","1.84%","4.46%","-0.59%","13.49%","17.92%","12.47%","12.66%","2.82%","3.93%"
"2017","2.11%","16.78%","$13,076","2.39%","3.56%","27.55%","43.16%","27.96%","31.74%","16.89%","13.78%","23.10%","21.17%","2.12%","4.26%"
"2018","1.91%","-4.99%","$12,424","2.93%","-0.03%","-14.43%","-12.58%","-14.52%","0.75%","-8.53%","-11.91%","-2.39%","-5.17%","0.96%","-0.47%"
"2019","0.61%","9.20%","$13,567","3.09%","2.94%","10.24%","14.92%","9.44%","16.22%","11.96%","15.76%","17.55%","14.04%","2.18%","3.95%"
"Annual returns for 2019 are based on partial year data"

"Monthly Returns"

"Year","Month","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Intl Bd Idx Admiral (VTABX)","Vanguard Total Bond Market Index Adm (VBTLX)","Vanguard Total Intl Stock Index Admiral (VTIAX)","Vanguard International Growth Adm (VWILX)","Vanguard International Value Inv (VTRIX)","Vanguard US Growth Admiral (VWUAX)","Vanguard Windsor II Admiral (VWNAX)","Vanguard Strategic Equity Inv (VSEQX)","Vanguard Explorer Adm (VEXRX)","Vanguard Total Stock Mkt Idx Adm (VTSAX)","Vanguard Short-Term Investment-Grade Adm (VFSUX)","Vanguard Interm-Term Investment-Grde Adm (VFIDX)"
"2014","1","-1.79%","$9,821","1.48%","1.55%","-4.75%","-5.63%","-5.19%","-2.81%","-3.46%","-2.03%","-2.61%","-3.11%","0.55%","1.74%"
"2014","2","3.34%","$10,149","0.42%","0.49%","5.40%","5.37%","5.28%","6.76%","4.53%","6.02%","4.83%","4.75%","0.34%","0.67%"
"2014","3","0.10%","$10,159","0.28%","-0.14%","0.41%","-0.18%","0.11%","-2.96%","1.99%","0.71%","-1.22%","0.52%","-0.08%","-0.04%"
"2014","4","0.42%","$10,202","0.63%","0.78%","1.32%","0.39%","0.91%","-0.95%","0.74%","-0.89%","-3.65%","0.06%","0.36%","0.88%"
"2014","5","1.64%","$10,369","0.81%","1.06%","1.90%","1.55%","2.26%","3.35%","1.94%","2.03%","0.62%","2.17%","0.45%","1.19%"
"2014","6","1.47%","$10,521","0.56%","0.12%","1.75%","1.16%","1.79%","2.56%","1.85%","3.34%","4.74%","2.57%","0.07%","0.06%"
"2014","7","-1.23%","$10,393","0.58%","-0.25%","-1.58%","-1.47%","-2.14%","-1.67%","-2.07%","-2.99%","-5.32%","-1.98%","-0.11%","-0.14%"
"2014","8","2.17%","$10,618","1.29%","1.14%","1.05%","1.12%","0.03%","4.13%","3.61%","4.78%","5.11%","4.18%","0.26%","1.08%"
"2014","9","-2.16%","$10,389","-0.04%","-0.71%","-5.03%","-4.56%","-3.70%","-1.48%","-1.63%","-3.93%","-4.16%","-2.11%","-0.21%","-0.94%"
