"Start Date","01/01/2013"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTI","Vanguard Total Stock Market ETF","11.20%"
"VEA","Vanguard FTSE Developed Markets ETF","8.40%"
"VWO","Vanguard FTSE Emerging Markets ETF","6.51%"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","2.78%"
"SCHH","Schwab US REIT ETF","3.61%"
"IEMG","iShares Core MSCI Emerging Markets ETF","6.36%"
"SCHE","Schwab Emerging Markets Equity ETF","6.66%"
"SCHF","Schwab International Equity ETF","8.23%"
"ITOT","iShares Core S&P Total US Stock Mkt ETF","11.29%"
"SCHB","Schwab US Broad Market ETF","11.09%"
"IXUS","iShares Core MSCI Total Intl Stk ETF","8.47%"
"VNQ","Vanguard Real Estate ETF","3.67%"
"EMLC","VanEck Vectors JP Morgan EM LC Bd ETF","4.84%"
"PCY","Invesco Emerging Markets Sov Debt ETF","3.16%"
"IYR","iShares US Real Estate ETF","3.73%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$15,769"
"End Balance (inflation adjusted)","$14,324"
"CAGR","7.56%"
"CAGR (inflation adjusted)","5.92%"
"Stdev","10.28%"
"Best Year","22.41%"
"Worst Year","-9.49%"
"Max. Drawdown","-13.34%"
"Sharpe Ratio","0.71"
"Sortino Ratio","1.13"
"US Stock Market Correlation","0.88"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.65%"
"Arithmetic Mean (annualized)","8.12%"
"Geometric Mean (monthly)","0.61%"
"Geometric Mean (annualized)","7.56%"
"Volatility (monthly)","2.97%"
"Volatility (annualized)","10.28%"
"Downside Deviation (monthly)","1.83%"
"Max. Drawdown","-13.34%"
"US Market Correlation","0.88"
"Beta (*)","0.81"
"Alpha (annualized)","-3.03%"
"R Squared","78.21%"
"Sharpe Ratio","0.71"
"Sortino Ratio","1.13"
"Treynor Ratio (%)","8.99"
"Calmar Ratio","0.72"
"Active Return","-5.99%"
"Tracking Error","5.25%"
"Information Ratio","-1.14"
"Skewness","-0.14"
"Excess Kurtosis","0.85"
"Historical Value-at-Risk (5%)","-5.04%"
"Analytical Value-at-Risk (5%)","-4.21%"
"Conditional Value-at-Risk (5%)","-6.40%"
"Upside Capture Ratio (%)","72.25"
"Downside Capture Ratio (%)","97.21"
"Safe Withdrawal Rate","20.38%"
"Perpetual Withdrawal Rate","5.81%"
"Positive Periods","45 out of 75 (60.00%)"
"Gain/Loss Ratio","1.19"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","iShares JP Morgan USD Em Mkts Bd ETF (EMB)","Schwab US REIT ETF (SCHH)","iShares Core MSCI Emerging Markets ETF (IEMG)","Schwab Emerging Markets Equity ETF (SCHE)","Schwab International Equity ETF (SCHF)","iShares Core S&P Total US Stock Mkt ETF (ITOT)","Schwab US Broad Market ETF (SCHB)","iShares Core MSCI Total Intl Stk ETF (IXUS)","Vanguard Real Estate ETF (VNQ)","VanEck Vectors JP Morgan EM LC Bd ETF (EMLC)","Invesco Emerging Markets Sov Debt ETF (PCY)","iShares US Real Estate ETF (IYR)"
"2013","1.50%","14.10%","$11,410","33.45%","21.83%","-4.92%","-7.79%","1.25%","-2.81%","-4.34%","18.93%","33.31%","33.20%","13.66%","2.31%","-9.94%","-10.26%","1.16%"
"2014","0.76%","6.19%","$12,116","12.54%","-5.98%","-0.07%","6.05%","31.87%","-3.44%","-0.05%","-5.69%","13.52%","12.69%","-5.01%","30.36%","-5.05%","9.16%","26.69%"
"2015","0.73%","-3.80%","$11,657","0.36%","-0.38%","-15.81%","1.04%","4.38%","-14.31%","-16.33%","-2.50%","0.91%","0.39%","-4.67%","2.42%","-15.07%","2.28%","1.63%"
"2016","2.07%","9.24%","$12,734","12.83%","2.67%","12.21%","9.26%","6.46%","10.29%","13.05%","3.03%","12.61%","12.66%","4.72%","8.60%","9.00%","8.93%","7.03%"
"2017","2.11%","22.41%","$15,588","21.21%","26.42%","31.48%","10.28%","3.68%","37.40%","32.67%","26.00%","21.38%","21.20%","28.14%","4.91%","13.84%","9.70%","9.34%"
"2018","1.91%","-9.49%","$14,108","-5.21%","-14.75%","-14.77%","-5.47%","-4.22%","-14.92%","-13.56%","-14.32%","-5.31%","-5.30%","-14.40%","-6.02%","-8.07%","-6.15%","-4.30%"
"2019","0.61%","11.78%","$15,769","14.00%","10.64%","11.77%","6.79%","15.69%","9.67%","10.54%","10.44%","13.88%","14.01%","10.55%","17.37%","2.10%","7.32%","16.97%"
"Annual returns for 2019 are based on partial year data"

"Monthly Returns"

"Year","Month","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","iShares JP Morgan USD Em Mkts Bd ETF (EMB)","Schwab US REIT ETF (SCHH)","iShares Core MSCI Emerging Markets ETF (IEMG)","Schwab Emerging Markets Equity ETF (SCHE)","Schwab International Equity ETF (SCHF)","iShares Core S&P Total US Stock Mkt ETF (ITOT)","Schwab US Broad Market ETF (SCHB)","iShares Core MSCI Total Intl Stk ETF (IXUS)","Vanguard Real Estate ETF (VNQ)","VanEck Vectors JP Morgan EM LC Bd ETF (EMLC)","Invesco Emerging Markets Sov Debt ETF (PCY)","iShares US Real Estate ETF (IYR)"
"2013","1","2.74%","$10,274","5.42%","3.83%","0.07%","-2.85%","3.39%","-0.23%","0.23%","2.62%","5.33%","5.43%","1.60%","3.74%","0.29%","-2.98%","4.02%"
"2013","2","-0.14%","$10,260","1.28%","-1.15%","-2.36%","0.26%","0.95%","-1.54%","-2.08%","-1.01%","1.23%","1.07%","-1.27%","1.22%","-0.33%","-0.08%","1.26%"
"2013","3","1.65%","$10,429","3.95%","1.19%","-1.27%","-0.94%","2.61%","-1.01%","-1.35%","1.09%","4.29%","3.97%","0.63%","2.87%","-0.77%","-1.23%","2.87%"
"2013","4","3.06%","$10,748","1.61%","5.22%","2.00%","3.57%","6.77%","1.40%","1.53%","4.27%","1.79%","1.74%","3.53%","6.73%","2.75%","4.44%","5.73%"
"2013","5","-2.06%","$10,527","2.44%","-2.97%","-5.07%","-4.93%","-5.88%","-4.37%","-4.78%","-2.96%","2.39%","2.41%","-3.06%","-5.98%","-6.05%","-6.43%","-6.49%"
"2013","6","-2.98%","$10,213","-1.43%","-2.77%","-5.33%","-4.44%","-1.67%","-5.57%","-5.47%","-3.30%","-1.40%","-1.14%","-3.54%","-1.98%","-6.00%","-5.20%","-2.40%"
